nomInstallation;codeEICResourceObject;codeIRIS;codeINSEECommune;commune;codeEPCI;EPCI;codeDepartement;departement;codeRegion;region;codeIRISCommuneImplantation;codeINSEECommuneImplantation;codeS3RENR;dateRaccordement;dateDeraccordement;dateMiseEnService;dateDebutVersion;posteSource;tensionRaccordement;modeRaccordement;codeFiliere;filiere;codeCombustible;combustible;codesCombustiblesSecondaires;combustiblesSecondaires;codeTechnologie;technologie;typeStockage;puisMaxInstallee;puisMaxRacCharge;puisMaxCharge;puisMaxRac;puisMaxInstalleeDisCharge;nbGroupes;nbInstallations;regime;energieStockable;capaciteReservoir;hauteurChute;productible;debitMaximal;codeGestionnaire;gestionnaire;energieAnnuelleGlissanteInjectee;energieAnnuelleGlissanteProduite;energieAnnuelleGlissanteSoutiree;energieAnnuelleGlissanteStockee
Confidentiel;17W000000034442R;2A0010000;2A001;Afa;242010056;CA du Pays Ajaccien;2A;Corse-du-Sud;94.0;Corse;2A0010000;2A001;;;;09/09/2011;29/07/2022;;HTA;Direct;SOLAI;Solaire;;;;;;;;880.0;;;;;;1;En service;;;;;;23X160203-000021;EDF-SEI;0.0;;0.0;
Confidentiel;17W0000000383544;2A0010000;2A001;Afa;242010056;CA du Pays Ajaccien;2A;Corse-du-Sud;94.0;Corse;2A0010000;2A001;;;;25/05/2015;29/07/2022;;HTA;Direct;SOLAI;Solaire;;;;;;;;4395.0;;;;;;1;En service;;;;;;23X160203-000021;EDF-SEI;0.0;;0.0;
Confidentiel;17W000000032988U;2A0010000;2A001;Afa;242010056;CA du Pays Ajaccien;2A;Corse-du-Sud;94.0;Corse;2A0010000;2A001;;;;22/01/2016;29/07/2022;;BT;Direct;SOLAI;Solaire;;;;;;;;99.0;;;;;;1;En service;;;;;;23X160203-000021;EDF-SEI;0.0;;0.0;
Confidentiel;17W000001336047V;2A0010000;2A001;Afa;242010056;CA du Pays Ajaccien;2A;Corse-du-Sud;94.0;Corse;2A0010000;2A001;;;;08/09/2020;29/07/2022;;BT;Direct;SOLAI;Solaire;;;;;;;;99.9;;;;;;1;En service;;;;;;23X160203-000021;EDF-SEI;0.0;;0.0;
Confidentiel;17W000001336508L;2A0010000;2A001;Afa;242010056;CA du Pays Ajaccien;2A;Corse-du-Sud;94.0;Corse;2A0010000;2A001;;;;08/07/2019;29/07/2022;;BT;Direct;SOLAI;Solaire;;;;;;;;99.9;;;;;;1;En service;;;;;;23X160203-000021;EDF-SEI;0.0;;0.0;
Confidentiel;17W000001467603Y;2A0010000;2A001;Afa;242010056;CA du Pays Ajaccien;2A;Corse-du-Sud;94.0;Corse;2A0010000;2A001;;;;28/07/2022;28/07/2022;;BT;Direct;SOLAI;Solaire;;;;;;;;99.99;;;;;;1;En service;;;;;;23X160203-000021;EDF-SEI;0.0;;0.0;
Confidentiel;17W000001467614T;2A0010000;2A001;Afa;242010056;CA du Pays Ajaccien;2A;Corse-du-Sud;94.0;Corse;2A0010000;2A001;;;;06/09/2022;06/09/2022;;BT;Direct;SOLAI;Solaire;;;;;;;;99.76;;;;;;1;En service;;;;;;23X160203-000021;EDF-SEI;0.0;;0.0;
Confidentiel;17W000001419220X;2A0010000;2A001;Afa;242010056;CA du Pays Ajaccien;2A;Corse-du-Sud;94.0;Corse;2A0010000;2A001;;;;26/09/2022;26/09/2022;;BT;Direct;SOLAI;Solaire;;;;;;;;99.84;;;;;;1;En service;;;;;;23X160203-000021;EDF-SEI;;;;
Confidentiel;17W000001467618L;2A0010000;2A001;Afa;242010056;CA du Pays Ajaccien;2A;Corse-du-Sud;94.0;Corse;2A0010000;2A001;;;;27/09/2022;27/09/2022;;BT;Direct;SOLAI;Solaire;;;;;;;;99.36;;;;;;1;En service;;;;;;23X160203-000021;EDF-SEI;0.0;;0.0;
Confidentiel;17W000000037679I;2A0010000;2A001;Afa;242010056;CA du Pays Ajaccien;2A;Corse-du-Sud;94.0;Corse;2A0010000;2A001;;;;04/07/2007;29/07/2022;;BT;Direct;SOLAI;Solaire;;;;;;;;59.78;;;;;;1;En service;;;;;;23X160203-000021;EDF-SEI;0.0;;0.0;
Confidentiel;17W0000000331508;2A0010000;2A001;Afa;242010056;CA du Pays Ajaccien;2A;Corse-du-Sud;94.0;Corse;2A0010000;2A001;;;;25/08/2011;29/07/2022;;HTA;Direct;SOLAI;Solaire;;;;;;;;2360.0;;;;;;1;En service;;;;;;23X160203-000021;EDF-SEI;0.0;;0.0;
Confidentiel;17W000000039134D;2A0010000;2A001;Afa;242010056;CA du Pays Ajaccien;2A;Corse-du-Sud;94.0;Corse;2A0010000;2A001;;;;25/04/2012;29/07/2022;;BT;Direct;SOLAI;Solaire;;;;;;;;71.28;;;;;;1;En service;;;;;;23X160203-000021;EDF-SEI;0.0;;0.0;
Confidentiel;17W0000000402537;2A0010000;2A001;Afa;242010056;CA du Pays Ajaccien;2A;Corse-du-Sud;94.0;Corse;2A0010000;2A001;;;;12/12/2013;29/07/2022;;BT;Direct;SOLAI;Solaire;;;;;;;;66.24;;;;;;1;En service;;;;;;23X160203-000021;EDF-SEI;0.0;;0.0;
Confidentiel;17W000001331681W;2A0010000;2A001;Afa;242010056;CA du Pays Ajaccien;2A;Corse-du-Sud;94.0;Corse;2A0010000;2A001;;;;13/10/2020;29/07/2022;;BT;Direct;SOLAI;Solaire;;;;;;;;100.0;;;;;;1;En service;;;;;;23X160203-000021;EDF-SEI;0.0;;0.0;
Confidentiel;17W000001352522Z;2A0010000;2A001;Afa;242010056;CA du Pays Ajaccien;2A;Corse-du-Sud;94.0;Corse;2A0010000;2A001;;;;15/06/2021;28/07/2022;;BT;Direct;SOLAI;Solaire;;;;;;;;99.9;;;;;;1;En service;;;;;;23X160203-000021;EDF-SEI;0.0;;0.0;
Confidentiel;17W000001373956M;2A0010000;2A001;Afa;242010056;CA du Pays Ajaccien;2A;Corse-du-Sud;94.0;Corse;2A0010000;2A001;;;;22/03/2022;28/07/2022;;BT;Direct;SOLAI;Solaire;;;;;;;;99.99;;;;;;1;En service;;;;;;23X160203-000021;EDF-SEI;0.0;;0.0;
